AAPL, AVB, AMD, CCC, BA, BLL, C, INTC, GPS, MMM, T, TJX
  0.964560, 20.620514,  5.490000,  4.800974, 19.713697,  5.793933,256.927582, 11.844463,  9.766501, 43.902985,  9.593709,  6.774802
  0.933714, 20.148676,  5.250000,  4.477831, 18.483370,  5.644917,255.540558, 10.993035, 10.298594, 43.598320,  9.450722,  7.010887
  0.949780, 20.081274,  5.770000,  3.933105, 18.275938,  5.676507,260.087067, 11.789531, 10.688641, 43.966011,  9.616771,  7.162657
  0.963917, 21.288958,  7.150000,  4.570158, 20.099958,  6.086097,286.673950, 12.991148, 11.198691, 47.054653,  9.981144,  7.896207
  0.936285, 20.716002,  6.220000,  4.431667, 18.669359,  6.162348,273.187836, 11.823864, 10.973664, 45.702927,  9.335413,  7.537860
  0.926003, 21.720337,  7.100000,  4.293178, 18.955481,  6.254941,286.904999, 11.707133, 11.663740, 46.918087, 10.101067,  7.651690
  0.848247, 21.491396,  7.150000,  4.477831, 18.934017,  6.232067,287.829773, 11.494277, 12.151295, 46.543388,  9.552194,  7.972092
  0.843106, 22.378521,  8.030000,  4.477831, 19.062769,  6.102434,300.853455, 12.812619, 12.293808, 45.517349,  9.648094,  7.963659
  0.857886, 22.664703,  7.540000,  4.431667, 19.449036,  6.100259,296.306732, 12.551698, 12.121287, 43.038025, 10.359993,  7.740223
  0.928574, 23.002378,  7.400000,  4.902532, 20.471918,  6.139473,305.939575, 13.066672, 12.391320, 44.176140, 11.245188,  7.938363
  1.175979, 23.414465,  7.350000,  5.068720, 20.815258,  6.099170,302.471771, 13.444322, 12.863866, 43.006504, 11.085945,  8.060627
  1.208110, 24.387444,  7.600000,  4.856370, 21.759457,  5.820300,303.246307, 13.403479, 12.286301, 43.931007, 11.685436,  7.644928
  1.177264, 24.610659,  6.910000,  4.808037, 21.575998,  5.691758,302.781433, 12.929200, 12.376314, 43.248138, 11.779108,  7.450636
  1.153488, 23.998257,  7.280000,  5.337107, 22.065218,  5.394372,317.730927, 14.310795, 12.768379, 44.523712, 11.924301,  7.687163
  1.102079, 25.354710,  6.930000,  5.309262, 25.079674,  5.130370,338.412109, 14.956912, 13.331688, 44.499065, 12.373918,  8.210903
  1.119429, 24.788080,  6.520000,  6.033252, 25.425007,  5.243870,341.587799, 14.681962, 12.633187, 44.991936, 11.858731,  8.054628
  1.233814, 24.147055,  6.790000,  5.643413, 25.561707,  5.092176,341.200562, 14.207688, 13.053796, 46.041042, 12.224046,  8.058849
  1.203611, 24.610659,  6.380000,  5.476336, 24.619230,  5.020146,333.144989, 14.138955, 13.992642, 45.277088, 11.914931,  7.813877
  1.229316, 25.884071,  6.710000,  5.244288, 24.878227,  4.921925,339.883728, 14.929410, 13.970108, 45.196129, 12.284931,  7.644928
  1.275584, 25.314041,  7.200000,  5.652694, 25.309900,  4.801881,357.466583, 16.042933, 14.240504, 45.498909, 11.900879,  7.750522
  1.340488, 24.837076,  7.120000,  5.615565, 23.993326,  4.991772,354.290833, 16.950243, 14.458314, 45.829807, 11.491838,  8.130655
  1.384185, 25.901514,  7.160000,  5.708385, 23.511290,  5.489420,354.213440, 17.122087, 14.398226, 49.779816, 11.187669,  8.384075
  1.332134, 27.454567,  7.190000,  5.624847, 23.324238,  5.283158,336.552979, 17.197699, 13.346711, 48.938419, 11.121134,  8.278485
  1.262089, 27.477835,  7.260000,  5.680540, 23.201935,  5.357369,346.593475, 16.207897, 13.842425, 49.269325, 11.121134,  8.413643
  1.266587, 26.762379,  7.800000,  5.615565, 23.698347,  5.468685,350.496796, 17.232023, 14.480847, 50.223396, 11.040342,  8.758705
  1.341773, 26.576250,  9.910000,  5.689866, 25.804140,  5.378105,336.445526, 18.841726, 14.435783, 50.526165, 11.002316,  8.779864
  1.452945, 26.989239, 11.290000,  5.857765, 27.040815,  5.762254,338.397125, 19.667213, 15.690077, 50.386726, 10.674383,  9.164908
  1.445876, 27.338234, 12.100000,  5.699195, 26.874489,  5.840175,346.125214, 19.749767, 13.714747, 49.046329, 10.931030,  8.779864
  1.484432, 27.297504, 12.160000,  5.643229, 25.789673,  5.755884,345.812988, 19.495237, 13.669682, 48.887173, 11.135395,  8.652926
